report_no,name,energy,protein,fat,carbohydrate,sugars,sodium,cholesterol,saturated_fat,trans_fat,dietary_fiber
2004045900543,100%통밀우리밀호두크랜베리식빵,306.0,15.0,7.7,44.1,6.6,183.0,2.3,1.2,0.0,0.0
2004045900544,100%통밀우리밀피칸건포도통밀식빵,331.0,15.2,13.4,37.4,8.1,168.0,0.0,1.6,0.0,0.0
2004045900546,100%호밀무설탕식빵,243.0,14.7,4.7,35.4,1.0,267.0,0.0,0.0,0.0,0.0
2004045900548,100%통밀깜빠뉴,269.0,14.4,4.79,42.16,1.99,200.0,2.01,0.0,0.49,0.0
20040473038211,K-gim김 야채맛 돌자반,578.0,12.2,47.2,34.4,11.6,1431.0,0.0,6.0,0.0,0.0
20040473038213,K-gim김 칼슘맛 돌자반,124.0,2.8,9.8,6.2,2.2,257.0,1.0,1.4,0.0,0.0
2004049505527,Alive  맥,31.0,0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0
20050144621464,KTSC 프리미엄 훈제연어,122.0,18.0,4.5,3.0,0.3,490.0,40.0,0.9,0.0,0.0
20050144621465,KTSC 프리미엄 훈제연어슬라이스,229.0,20.0,16.0,1.0,0.0,340.0,55.0,2.7,0.0,0.0
20050144621491,63프라임 연어스테이크,199.0,21.0,9.0,8.0,0.7,750.0,40.0,1.4,0.1,0.0
20050144621505,63프리미엄 훈제연어,272.0,20.2,20.5,1.7,0.0,340.0,34.8,1.8,0.1,0.0
20050236003182,10세기빵,160.0,7.5,9.72,13.89,13.89,150.0,9.72,5.56,0.14,0.0
20050275198466,K베이글 무화과,314.0,9.6,3.5,60.0,17.1,439.0,44.7,2.1,0.0,0.0
20050275198467,L-생크림스콘,391.0,5.0,19.0,50.0,15.0,277.0,76.0,11.0,0.2,0.0
20050275198481,K베이글 통밀,268.0,8.0,4.0,50.0,7.0,409.0,5.0,1.6,0.0,0.0
20050275198490,BNK대파생크림스콘,404.0,5.0,18.75,53.75,17.5,320.0,92.5,11.25,0.25,0.0
20050275198498,M플레인베이글,262.0,12.0,1.1,51.0,1.0,480.0,0.0,0.2,0.0,0.0
20050275198499,M어니언베이글,279.0,11.0,3.0,52.0,1.0,400.0,0.0,0.2,0.0,0.0
20050275198500,M블루베리베이글,293.0,11.0,1.0,60.0,11.0,502.0,0.0,0.3,0.0,0.0
